7be73b55 AbilityDescription
a87cd8f8 AbilityHasteMod
4680aae9 AbilityInfo
01ba2bd1 AbilityResource
25a09a75 AbilityResourceSlot
b3ec72b9 AbilityResourceType
3510dea4 Aced
54b38947 ActionOnEnd
ee151102 ActionOnStart
dad3f6bb ActivateActions
888d3a04 ActivateButton
eb01e454 ActivationSfx
74037860 ActivationThreshold
6049cd42 ActivationTimeMillis
6c8efc75 ActivationType
96b1f469 ActiveBorder
c26f983e ActiveColor
6d62bdb4 ActiveFrame
d8b7cfd7 ActiveIcons
9c767a76 ActiveMaterial
2c41f9d3 ActivePing
06d4a62e ActiveTooltip
8c4da8f8 ActiveTra
e404f145 ActiveUi
c895f7ad ActiveVfx
20749c51 ActiveVoiceOver
78811384 AdditionalData
2920447a AdditionalRotation
c5b58261 AdditionalSettings
ddb9d277 AdditionalStats
79347a3f AdditiveVfx
199c85a4 AdditiveVfxs
4ab787f3 AffectsStatus
9a6a9339 AffectsType
0be0de52 AlignX
0ce0dfe5 AlignY
dd85c53b AliveMaterial
e21f1d86 AllowEmitterRotation
4cf24bd7 AllowInactive
2eddea64 AllowedSpells
302afbcd AllyIndex
5d8b6dab Alpha
7e8cf11a AlphaAtClosestDistance
28de30d6 AlphaAtFarthestDistance
3360db7e AlphaCutoff
e630d0a5 AlphaOnly
e9faf118 AlphaSliceRange
2ff43743 AlternativeTooltip
696972ed AnchorStrawberry
adbdac5e AngularVelocity
f95b6c8b AnimCurve
1ccc919a AnimatedTitle
25fdb38f AnimationConfig
b24341c8 AnimationDimensions
6b71243c AnimationTime
6e654622 AnnouncerQueueConfigs
63981b65 AnnouncerVoEventType
de72a3a2 AnnouncerVoEventTypes
9963c03a AnnouncerVoEvents
a7cdb46f AnonymousTra
79ed2e39 ApplyDrag
f359eded ArcElement
bb59b99c ArenaButton
84542686 Arrow
a0bf18a1 Ascending
42e3afec AssetPath
eff5bca1 AssistedPriorityBehavior
0caccb87 Assists
372ea7c1 AssociatedTrait
d631c93e AtakhanIcon
47dac7e3 AtakhanScore
90fce2a4 AtakhanValue
3d60c5b7 AttachTargetBone
9ea6766d AttachTo
344feb42 AttachToObject
2092043f AttackableUnit
b7c14674 AttractionAcceleration
aeefa0e6 AttractionRadius
55001320 AudioBanks
9bfe08c0 AugmentList
cce2113c AugmentPillar
2d96f463 AugmentRarities
05e940ec AugmentRegion
81f43042 AugmentReroll
8eb174a9 AutoAttackMode
f85b5e9b AutomaticallyStarts
fd597a5a AvailableStatus
175eb228 Average
a1072a5e BackgroundPath
b8e42d01 BackgroundPos
57e55d3c BackgroundSpine
1a0d8988 BackgroundViewController
e6dbf566 Backlight
7d7eabcb Backpack
ca451de5 BannedAugments
5d22440e BannedCharacterRecords
d47ce07c BannerFrameData
02f69cf6 BannerGroup
232bdbbe BannerIcon
19cc6053 BaronKill
bcbb5260 BaronKills
