hash    	name                                                        	batch                         	cracked   	status   	pr
2eddea64	AllowedSpells                                               	game-entity-sweep             	2026-07-20	pending  	-
801b0cad	Buffs                                                       	game-entity-sweep             	2026-07-20	pending  	-
4310d45d	CasterRequirements                                          	game-entity-sweep             	2026-07-20	pending  	-
d4db947d	ColorblindTexturePath                                       	game-entity-sweep             	2026-07-20	pending  	-
363f1e09	CompletedItem                                               	game-entity-sweep             	2026-07-20	pending  	-
55d13682	ConditionalElements                                         	game-entity-sweep             	2026-07-20	pending  	-
0c247b0b	ConditionalScale                                            	game-entity-sweep             	2026-07-20	pending  	-
38725935	ControlsScene                                               	game-entity-sweep             	2026-07-20	pending  	-
9641b3c4	DefType                                                     	game-entity-sweep             	2026-07-20	pending  	-
f688ec43	DisabledOverlay                                             	game-entity-sweep             	2026-07-20	pending  	-
f4019c2e	DisabledSubtext                                             	game-entity-sweep             	2026-07-20	pending  	-
b3ddaeab	EquipTraKey                                                 	game-entity-sweep             	2026-07-20	pending  	-
a02b6406	FeaturesList                                                	game-entity-sweep             	2026-07-20	pending  	-
0ccdd309	FilledTicks                                                 	game-entity-sweep             	2026-07-20	pending  	-
b99d8552	Format                                                      	game-entity-sweep             	2026-07-20	pending  	-
162f520d	GameplayRegion                                              	game-entity-sweep             	2026-07-20	pending  	-
5ad3db8d	Groupings                                                   	game-entity-sweep             	2026-07-20	pending  	-
d5411c8f	Holder                                                      	game-entity-sweep             	2026-07-20	pending  	-
02a6ce85	IconsList                                                   	game-entity-sweep             	2026-07-20	pending  	-
f6e17fdc	InProgressIcon                                              	game-entity-sweep             	2026-07-20	pending  	-
fbc9eeef	InSequence                                                  	game-entity-sweep             	2026-07-20	pending  	-
1fe7164e	InteractionTarget                                           	game-entity-sweep             	2026-07-20	pending  	-
4644eb92	ItemCounts                                                  	game-entity-sweep             	2026-07-20	pending  	-
5307f5e1	KeybindSet                                                  	game-entity-sweep             	2026-07-20	pending  	-
82d6dcb0	Keybinds                                                    	game-entity-sweep             	2026-07-20	pending  	-
554b1325	LocKeys                                                     	game-entity-sweep             	2026-07-20	pending  	-
ce96732e	MagicalDamageEnhanced                                       	game-entity-sweep             	2026-07-20	pending  	-
22a237ce	MaximumRange                                                	game-entity-sweep             	2026-07-20	pending  	-
377d1a73	MinScaleChange                                              	game-entity-sweep             	2026-07-20	pending  	-
636f6a90	ModifiersGroup                                              	game-entity-sweep             	2026-07-20	pending  	-
cee348f4	NamedTeams                                                  	game-entity-sweep             	2026-07-20	pending  	-
b818e45a	OptionLayout                                                	game-entity-sweep             	2026-07-20	pending  	-
2d4bc6e6	OutSequence                                                 	game-entity-sweep             	2026-07-20	pending  	-
5b2e77af	PropPath                                                    	game-entity-sweep             	2026-07-20	pending  	-
3f65fe98	RandomizeButton                                             	game-entity-sweep             	2026-07-20	pending  	-
725d1942	RewardsGroup                                                	game-entity-sweep             	2026-07-20	pending  	-
eac7c160	ScrollRegion                                                	game-entity-sweep             	2026-07-20	pending  	-
e0ece3d9	SearchBarGroup                                              	game-entity-sweep             	2026-07-20	pending  	-
8c61159d	SourcesList                                                 	game-entity-sweep             	2026-07-20	pending  	-
f5d0c797	StatLocalizations                                           	game-entity-sweep             	2026-07-20	pending  	-
436cd370	StatTra                                                     	game-entity-sweep             	2026-07-20	pending  	-
a1832a8c	StatValue                                                   	game-entity-sweep             	2026-07-20	pending  	-
77f310ef	StateMachine                                                	game-entity-sweep             	2026-07-20	pending  	-
cc6fee26	TeammateSpectator                                           	game-entity-sweep             	2026-07-20	pending  	-
138a7d5f	TeamsConfig                                                 	game-entity-sweep             	2026-07-20	pending  	-
c44cfe37	TeamsLayout                                                 	game-entity-sweep             	2026-07-20	pending  	-
397d10d8	TiersLayout                                                 	game-entity-sweep             	2026-07-20	pending  	-
e8de69a5	TraName                                                     	game-entity-sweep             	2026-07-20	pending  	-
25a09a75	AbilityResourceSlot                                         	pre-ledger-backlog            	2026-07-20	pending  	-
b3ec72b9	AbilityResourceType                                         	pre-ledger-backlog            	2026-07-20	pending  	-
ee151102	ActionOnStart                                               	pre-ledger-backlog            	2026-07-20	pending  	-
dad3f6bb	ActivateActions                                             	pre-ledger-backlog            	2026-07-20	pending  	-
888d3a04	ActivateButton                                              	pre-ledger-backlog            	2026-07-20	pending  	-
eb01e454	ActivationSfx                                               	pre-ledger-backlog            	2026-07-20	pending  	-
74037860	ActivationThreshold                                         	pre-ledger-backlog            	2026-07-20	pending  	-
6c8efc75	ActivationType                                              	pre-ledger-backlog            	2026-07-20	pending  	-
96b1f469	ActiveBorder                                                	pre-ledger-backlog            	2026-07-20	pending  	-
c26f983e	ActiveColor                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
6d62bdb4	ActiveFrame                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
d8b7cfd7	ActiveIcons                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
9c767a76	ActiveMaterial                                              	pre-ledger-backlog            	2026-07-20	pending  	-
2c41f9d3	ActivePing                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
06d4a62e	ActiveTooltip                                               	pre-ledger-backlog            	2026-07-20	pending  	-
8c4da8f8	ActiveTra                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
e404f145	ActiveUi                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
78811384	AdditionalData                                              	pre-ledger-backlog            	2026-07-20	pending  	-
2920447a	AdditionalRotation                                          	pre-ledger-backlog            	2026-07-20	pending  	-
c5b58261	AdditionalSettings                                          	pre-ledger-backlog            	2026-07-20	pending  	-
